"","ESS","mean","median","mode","hdiMass","hdiLow","hdiHigh"
"12-15",60985.2003638683,84.7752235660481,86.9601765148882,91.205097453417,0.95,65.3154861739695,98.8312736200932
"16-64",60000.0000000004,93.0865863060919,93.354706343888,93.8344715763523,0.95,88.5821061112555,97.1577541390042
"65-74",59999.9999999998,72.9655288180702,76.2886490990412,81.8221985797911,0.95,41.8131528569747,96.7375055086653
"more75",59999.9999999997,48.0940745753575,58.9134809936702,73.7263760864798,0.95,-29.6444130586646,97.798197689153
